Value	R	G	B
0	0.0059967	0	0
1	0.0158539	0	0
2	0.011734	0	0
3	0.0116425	0	0
4	0.0127411	0	0
5	0.0158234	0	0
6	0.0169067	0	0
7	0.0184784	3.05176E-05	4.58E-05
8	0.0204315	0	1.53E-05
9	0.0258331	6.10352E-05	7.63E-05
10	0.0282898	0.000152588	0.000167847
11	0.0540924	0.000595093	0.000305176
12	0.0123138	0.0012207	0.000534058
13	0.00872803	0.00256348	0.000991821
14	0.00831604	0.00956726	0.00338745
15	0.00767517	0.0549164	0.0183105
16	0.0072937	0.0200195	0.0359955
17	0.00733948	0.0157776	0.0447845
18	0.00674438	0.0147552	0.0832977
19	0.00704956	0.0126953	0.0355988
20	0.00679016	0.0108795	0.0234833
21	0.00688171	0.0109863	0.0212708
22	0.00764465	0.00997925	0.0193024
23	0.00733948	0.00924683	0.0177155
24	0.00688171	0.00985718	0.0168152
25	0.00753784	0.00965881	0.0151978
26	0.00724792	0.00900269	0.0147247
27	0.00679016	0.00927734	0.0127716
28	0.00741577	0.00967407	0.0129547
29	0.00717163	0.00949097	0.0122375
30	0.00653076	0.00964355	0.0117188
31	0.00726318	0.0100708	0.0110626
32	0.00735474	0.0102692	0.0111847
33	0.00718689	0.0105896	0.0106659
34	0.00660706	0.0115814	0.00927734
35	0.00672913	0.011795	0.00860596
36	0.00747681	0.0118103	0.00836182
37	0.00735474	0.0118866	0.00753784
38	0.00816345	0.0119781	0.00683594
39	0.00738525	0.0119019	0.00617981
40	0.00775146	0.0113373	0.00559998
41	0.00802612	0.0107269	0.00511169
42	0.00787354	0.0104218	0.00483704
43	0.00759888	0.0101624	0.00462341
44	0.00761414	0.00993347	0.00421143
45	0.00695801	0.0101318	0.00398254
46	0.00642395	0.00917053	0.00428772
47	0.00636292	0.0098114	0.0040741
48	0.00646973	0.00915527	0.00361633
49	0.00646973	0.00924683	0.00387573
50	0.00645447	0.00961304	0.00379944
51	0.00631714	0.00942993	0.00338745
52	0.0062561	0.00968933	0.00384521
53	0.00579834	0.00935364	0.00367737
54	0.00546265	0.00830078	0.003479
55	0.00605774	0.00967407	0.00338745
56	0.00631714	0.00798035	0.0030365
57	0.00582886	0.00805664	0.00334167
58	0.00617981	0.00822449	0.00315857
59	0.00657654	0.00752258	0.00338745
60	0.00737	0.00802612	0.00323486
61	0.00717163	0.00717163	0.00300598
62	0.00640869	0.00692749	0.00360107
63	0.00643921	0.0071106	0.00328064
64	0.00746155	0.00656128	0.00367737
65	0.00743103	0.00636292	0.00326538
66	0.00561523	0.00634766	0.00328064
67	0.00527954	0.00572205	0.003479
68	0.00559998	0.00518799	0.00340271
69	0.00521851	0.00479126	0.00312805
70	0.00575256	0.00523376	0.00259399
71	0.00454712	0.00483704	0.00299072
72	0.00427246	0.00396729	0.00299072
73	0.00396729	0.00462341	0.00270081
74	0.00349426	0.00549316	0.00280762
75	0.00274658	0.00592041	0.00257874
76	0.00309753	0.00631714	0.00247192
77	0.00314331	0.00595093	0.00244141
78	0.00280762	0.00509644	0.00248718
79	0.00285339	0.00465393	0.00230408
80	0.00247192	0.00468445	0.00228882
81	0.00245667	0.00482178	0.00231934
82	0.00204468	0.0045166	0.00234985
83	0.00234985	0.00430298	0.00218201
84	0.00204468	0.00444031	0.00213623
85	0.00234985	0.00469971	0.00192261
86	0.00187683	0.00387573	0.00210571
87	0.00212097	0.00376892	0.00190735
88	0.00196838	0.00344849	0.00195312
89	0.00184631	0.00312805	0.00183105
90	0.00196838	0.00312805	0.00183105
91	0.0020752	0.00367737	0.00158691
92	0.00170898	0.00349426	0.00172424
93	0.0017395	0.00279236	0.00175476
94	0.00167847	0.00247192	0.00164795
95	0.00201416	0.00238037	0.00180054
96	0.00137329	0.00204468	0.0017395
97	0.00192261	0.00198364	0.001297
98	0.00184631	0.00189209	0.00152588
99	0.00160217	0.00192261	0.00143433
100	0.00163269	0.00154114	0.0015564
101	0.00163269	0.00163269	0.00138855
102	0.0017395	0.00198364	0.00169373
103	0.00125122	0.00175476	0.00158691
104	0.00167847	0.00172424	0.0014801
105	0.00132751	0.0015564	0.00175476
106	0.00108337	0.00166321	0.00164795
107	0.00151062	0.001297	0.00218201
108	0.00149536	0.00138855	0.00332642
109	0.00144958	0.00135803	0.00289917
110	0.00123596	0.0015564	0.00268555
111	0.00144958	0.00109863	0.00346375
112	0.0014801	0.0014801	0.00294495
113	0.00160217	0.00123596	0.00202942
114	0.00140381	0.00108337	0.00186157
115	0.00140381	0.00115967	0.00204468
116	0.0014801	0.00106812	0.00250244
117	0.00128174	0.000976562	0.00262451
118	0.001297	0.00108337	0.00260925
119	0.00138855	0.000976562	0.00244141
120	0.00151062	0.00117493	0.00309753
121	0.00152588	0.00100708	0.00263977
122	0.00177002	0.00088501	0.0027771
123	0.00186157	0.00105286	0.00204468
124	0.00233459	0.000869751	0.00222778
125	0.00256348	0.000839233	0.00196838
126	0.00289917	0.000976562	0.00157166
127	0.00282288	0.000793457	0.00187683
128	0.00312805	0.000701904	0.00230408
129	0.00299072	0.000900269	0.00213623
130	0.00370789	0.000823975	0.0019989
131	0.00360107	0.00115967	0.00144958
132	0.00386047	0.000930786	0.00161743
133	0.00424194	0.000839233	0.00131226
134	0.00476074	0.00128174	0.00132751
135	0.00520325	0.00106812	0.00141907
136	0.00570679	0.00108337	0.00120544
137	0.00552368	0.00134277	0.00128174
138	0.00592041	0.000991821	0.00137329
139	0.00662231	0.00114441	0.00108337
140	0.00691223	0.0014801	0.000869751
141	0.00706482	0.00123596	0.000991821
142	0.00682068	0.00135803	0.000915527
143	0.00575256	0.00125122	0.00106812
144	0.00502014	0.00126648	0.000854492
145	0.00430298	0.0014801	0.000930786
146	0.00344849	0.00172424	0.0010376
147	0.0032196	0.00164795	0.00119019
148	0.00331116	0.00195312	0.00109863
149	0.00393677	0.00209045	0.000717163
150	0.00343323	0.00209045	0.000900269
151	0.00346375	0.00190735	0.000915527
152	0.00341797	0.00210571	0.000671387
153	0.00328064	0.00201416	0.000762939
154	0.0027771	0.00233459	0.000640869
155	0.00289917	0.00291443	0.000595093
156	0.00300598	0.0032196	0.000717163
157	0.00306702	0.00361633	0.000854492
158	0.00309753	0.00395203	0.00088501
159	0.0032196	0.00402832	0.000732422
160	0.0030365	0.00442505	0.000534058
161	0.00294495	0.0043335	0.000717163
162	0.00276184	0.0045166	0.000869751
163	0.00259399	0.00544739	0.00062561
164	0.00234985	0.00534058	0.000854492
165	0.00234985	0.00614929	0.000686646
166	0.00209045	0.00639343	0.000778198
167	0.00221252	0.00627136	0.000732422
168	0.0020752	0.00683594	0.000823975
169	0.00213623	0.00756836	0.00102234
170	0.00201416	0.00765991	0.000793457
171	0.0020752	0.00839233	0.00126648
172	0.00190735	0.00779724	0.00137329
173	0.00195312	0.00770569	0.00140381
174	0.00202942	0.00674438	0.00177002
175	0.0019989	0.00520325	0.00152588
176	0.00172424	0.0057373	0.00149536
177	0.00177002	0.00596619	0.00163269
178	0.00183105	0.00506592	0.00161743
179	0.00167847	0.00418091	0.00195312
180	0.00163269	0.00364685	0.00164795
181	0.0017395	0.00292969	0.00219727
182	0.00158691	0.00242615	0.00236511
183	0.00190735	0.00256348	0.00265503
184	0.00183105	0.0025177	0.00335693
185	0.0018158	0.00228882	0.00376892
186	0.00180054	0.00244141	0.00396729
187	0.00160217	0.00190735	0.00354004
188	0.00144958	0.00167847	0.00357056
189	0.00125122	0.0018158	0.00358582
190	0.00123596	0.00212097	0.00418091
191	0.00111389	0.00205994	0.00396729
192	0.00125122	0.0022583	0.00410461
193	0.00120544	0.0015564	0.00482178
194	0.00112915	0.00183105	0.00553894
195	0.00108337	0.00184631	0.00675964
196	0.00088501	0.00164795	0.00686646
197	0.00119019	0.00120544	0.00924683
198	0.00105286	0.00138855	0.0106659
199	0.00108337	0.00105286	0.0119019
200	0.00106812	0.00128174	0.0100555
201	0.00158691	0.00088501	0.00852966
202	0.00140381	0.000854492	0.0112
203	0.00146484	0.00105286	0.0138397
204	0.00131226	0.000976562	0.00993347
205	0.00158691	0.00105286	0.00900269
206	0.00137329	0.00117493	0.00595093
207	0.00166321	0.00102234	0.00434875
208	0.00195312	0.00112915	0.00309753
209	0.00186157	0.00126648	0.00286865
210	0.00158691	0.00111389	0.00302124
211	0.00158691	0.00112915	0.00212097
212	0.00167847	0.00131226	0.00195312
213	0.00141907	0.000991821	0.00195312
214	0.00106812	0.00140381	0.0018158
215	0.000747681	0.00141907	0.00169373
216	0.000701904	0.00186157	0.00158691
217	0.000366211	0.00172424	0.00138855
218	0.000366211	0.00160217	0.0014801
219	0.000213623	0.00163269	0.0015564
220	0.00038147	0.00160217	0.00198364
221	0.000213623	0.00170898	0.0020752
222	0.000137329	0.00106812	0.0020752
223	4.58E-05	0.000701904	0.00202942
224	0	0.000671387	0.00158691
225	0	0.000534058	0.00169373
226	0	0.000274658	0.00204468
227	3.05E-05	0.000274658	0.00198364
228	0	0.000335693	0.00180054
229	0	0.000152588	0.00196838
230	0	1.53E-05	0.00180054
231	0	1.53E-05	0.00135803
232	0	1.53E-05	0.000946045
233	0	1.53E-05	0.000518799
234	0	0	0.000442505
235	0	0	0.000213623
236	0	0	0.000274658
237	0	0	0.000305176
238	0	0	0.000213623
239	0	0	9.16E-05
240	0	0	0
241	0	0	1.53E-05
242	0	0	1.53E-05
243	0	0	0
244	0	0	0
245	0	0	0
246	0	0	0
247	0	0	0
248	0	0	0
249	0	0	0
250	0	0	0
251	0	0	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
Class	Entropy		
R	7.22955		
G	7.17846		
B	6.85686		
